資料集識別碼,資料集名稱,服務分類,檔案格式,資料下載網址,編碼格式,資料集類型,資料集描述,主要欄位說明,提供機關,更新頻率,授權方式,相關網址,計費方式,提供機關聯絡人姓名,提供機關聯絡人電話,上架日期,詮釋資料更新時間,備註
5957,職業傷病防治中心名單,就醫,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17000000J-000003-U9H;https://apiservice.mol.gov.tw/OdService/download/A17000000J-000003-59W;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17000000J-000003-JPh;https://apiservice.mol.gov.tw/OdService/download/A17000000J-000003-DIN,BIG5;UTF-8;UTF-8;UTF-8,b01,職業傷病防治中心提供勞工就近性之職業傷病預防、工作因果關係診斷及復工評估、復健轉介及健康與補償法令之諮詢。,區域;醫院名稱;聯絡人;聯絡電話;醫院地址,勞動部職業安全衛生署,每日,政府資料開放授權條款-第1版,,免費,"魏伊秀 小姐",02-8995-6666#8149,"2013/03/21 08:00","2018/07/27 14:31","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
6056,勞工育樂中心訊息,休閒旅遊,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17000000J-000001-uBQ;https://apiservice.mol.gov.tw/OdService/download/A17000000J-000001-i5h;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17000000J-000001-Itf;https://apiservice.mol.gov.tw/OdService/download/A17000000J-000001-UBx,BIG5;UTF-8;UTF-8;UTF-8,b01,各地勞工育樂中心主資料,名稱;地址;電話;是否提供住宿;是否提供會議室;網址,勞動部,每日,政府資料開放授權條款-第1版,,免費,"巫明哲 先生",02-85902810,"2013/03/31 08:00","2018/07/27 14:29","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
6058,新制勞工退休基金歷年最低保證收益率,投資理財,CSV;JSON;WEBSERVICES,https://apiservice.mol.gov.tw/OdService/download/A17000000J-000005-g1i;https://apiservice.mol.gov.tw/OdService/download/A17000000J-000005-4QU;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17000000J-000005-xwB,UTF-8;UTF-8;UTF-8,b01,每月第一個營業日公告最低保證收益率,年月別;最低保證收益率（年利率%）,勞動部勞動基金運用局,每月,政府資料開放授權條款-第1版,,免費,"陳瑞嬿 小姐",02-33435928,"2013/03/31 08:00","2018/10/01 11:42","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
6059,就業博覽會及現場徵才資訊,求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17000000J-000006-Mle;https://apiservice.mol.gov.tw/OdService/download/A17000000J-000006-fna;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17000000J-000006-FEG;https://apiservice.mol.gov.tw/OdService/download/A17000000J-000006-j8C,UTF-8;UTF-8;UTF-8;UTF-8,b01,提供107年度就業博覽會及現場徵才之相關數據,項次;辦理分署;辦理日期;辦理地點;預估廠商數;實際廠商數;預估職缺數;實際職缺數;預估參加人次;實際參加人次,勞動部勞動力發展署,每年,政府資料開放授權條款-第1版,,免費,"高忠義 先生",02-89956043,"2013/03/31 08:00","2018/09/26 10:35","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
6060,職業訓練課程資訊,求職及就業,XML,https://apiservice.mol.gov.tw/OdService/download/A17000000J-000007-yrg,UTF-8,b01,提供職業訓練課程及聯絡資訊,辦理單位;開班單位;訓練期間;訓練時段;訓練時數;訓練地點;訓練位置;報名日期;甄試日期;負擔費用;聯絡人;聯絡電話;課程名稱;期別;課程代碼;訓練概要;課程內容,勞動部勞動力發展署,每月,政府資料開放授權條款-第1版,,免費,"沈佳宜 小姐",02-89956114,"2013/03/31 08:00","2018/09/20 23:00",
6061,勞保局各地辦事處,求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17000000J-000008-eeC;https://apiservice.mol.gov.tw/OdService/download/A17000000J-000008-k46;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17000000J-000008-H4d;https://apiservice.mol.gov.tw/OdService/download/A17000000J-000008-2ef,UTF-8;UTF-8;UTF-8;UTF-8,b01,勞保局各地辦事處服務項目：承保業務、給付業務、保費業務、勞工退休金及國民年金業務。,縣市別;辦事處地址;緯度;經度;辦事處電話;服務時間,勞動部勞工保險局,每日,政府資料開放授權條款-第1版,,免費,"陳媚婷 小姐",02-23961266#6904,"2013/03/31 08:00","2018/07/27 14:33","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
6062,勞保年金給付介紹,求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17000000J-000009-zeh;https://apiservice.mol.gov.tw/OdService/download/A17000000J-000009-lpm;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17000000J-000009-bMR;https://apiservice.mol.gov.tw/OdService/download/A17000000J-000009-rJQ,UTF-8;UTF-8;UTF-8;UTF-8,b01,勞保年金給付介紹包含勞保老年年金給付、勞保失能年金給付、勞保遺屬年金給付、國保老年年金給付、國保身心障礙年金給付、國保遺屬年金給付及勞退年金保險。,保險別;給付種類;網址,勞動部勞工保險局,每年,政府資料開放授權條款-第1版,,免費,"鄭依婷 小姐",02-23961266#2763,"2013/03/31 08:00","2018/07/27 14:34","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
6063,技能檢定發證數統計資料,求職及就業,CSV;JSON;WEBSERVICES,https://apiservice.mol.gov.tw/OdService/download/A17000000J-000011-2hd;https://apiservice.mol.gov.tw/OdService/download/A17000000J-000011-Cws;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17000000J-000011-lRl,UTF-8;UTF-8;UTF-8,b01,技能檢定每月依級別及職類別之發證情形,職類名稱;細項職類名稱;職類群;級別;報檢數;到檢數;合格數,勞動部勞動力發展署技能檢定中心,每月,政府資料開放授權條款-第1版,,免費,"莊女芳 小姐",04-22595700#413,"2013/03/31 08:00","2018/10/01 15:43","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
6153,微型創業鳳凰創業課程,求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17000000J-000002-he6;https://apiservice.mol.gov.tw/OdService/download/A17000000J-000002-MrZ;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17000000J-000002-djC;https://apiservice.mol.gov.tw/OdService/download/A17000000J-000002-t0S,UTF-8;UTF-8;UTF-8;UTF-8,b01,105年1月至107年1月之創業研習課程,班別;日期;時間;地點;網址,勞動部勞動力發展署,每日,政府資料開放授權條款-第1版,,免費,"黃語璇 小姐",8995-6167,"2013/04/22 08:00","2018/07/27 14:30","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
6154,勞動及職業安全衛生研究所_各年度研究報告,生活安全及品質,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17000000J-000010-wTm;https://apiservice.mol.gov.tw/OdService/download/A17000000J-000010-ZrN;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17000000J-000010-84z;https://apiservice.mol.gov.tw/OdService/download/A17000000J-000010-SwY,UTF-8;UTF-8;UTF-8;UTF-8,b01,勞動及職業安全衛生研究所各年度研究計畫之成果報告,中文研究報告名稱;計畫編號;組別;出版年;檔案下載,勞動部勞動及職業安全衛生研究所,每年,政府資料開放授權條款-第1版,,免費,"吳幸娟 小姐",02-26607600#236,"2013/04/22 08:00","2018/07/27 14:34","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
